Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2020-07-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-06,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-07,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-12,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-13,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-15,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-18,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-21,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-22,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-23,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-25,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-26,0,0.0,0,1,0.0,0,0,0.0,0
2020-07-27,-1,0.0,0,1,0.0,0,1,0.03774654799884436,1
2020-07-28,-1,0.0,0,1,0.0,0,1,-0.015434118177857004,1
2020-07-29,-1,0.0,0,1,0.0,0,1,0.0,0
2020-07-30,-1,0.0,0,1,-0.018234161105397773,1,1,0.0,0
2020-07-31,-1,0.0,0,1,0.0,0,1,0.0,0
2020-08-01,-1,0.0,0,1,0.04505968543286398,1,1,-0.005497407483167627,1
2020-08-02,-1,0.006366060820580222,-1,1,0.0,0,1,0.0,0
2020-08-03,-1,0.0,0,1,0.0,0,1,0.0,0
2020-08-04,-1,0.0,0,1,0.0,0,1,0.0,0
2020-08-05,-1,0.0,0,1,0.0,0,1,0.0,0
2020-08-06,-1,0.0,0,1,0.0,0,1,0.0,0
2020-08-07,-1,0.0,0,1,0.0,0,1,0.0,0
2020-08-08,0,0.0,0,1,0.0,0,0,0.0,0
2020-08-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-12,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-13,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-15,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-18,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-21,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-22,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-23,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-25,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-26,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-27,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-28,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-29,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-30,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-31,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-06,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-07,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-12,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-13,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-15,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-18,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-21,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-22,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-23,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-25,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-26,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-27,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-28,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-29,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-30,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-06,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-07,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-12,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-13,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-15,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-18,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-21,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-22,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-23,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-24,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-25,-1,0.0,0,0,0.0,0,1,0.0,0
2020-10-26,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-27,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-28,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-29,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-30,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-31,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-01,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-02,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-03,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-04,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-05,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-06,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-07,-1,-0.008960515301938976,-1,0,0.0,0,0,0.0,0
2020-11-08,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-09,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-10,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-11,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-12,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-13,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-14,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-15,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-16,-1,0.0,0,0,0.0,0,1,0.10866282620127521,1
2020-11-17,-1,0.0,0,0,0.0,0,1,0.0,0
2020-11-18,-1,0.0,0,0,0.0,0,1,0.0,0
2020-11-19,-1,0.0,0,0,0.0,0,1,0.03698743110426039,1
2020-11-20,-1,0.0,0,0,0.0,0,1,0.0,0
2020-11-21,-1,0.0,0,0,0.0,0,1,0.0,0
2020-11-22,-1,-0.04512925378623267,-1,1,0.0,0,1,0.0,0
2020-11-23,-1,0.0,0,1,0.014344262677034703,1,1,0.006426540812526138,1
2020-11-24,-1,0.0,0,1,0.0,0,1,0.0,0
2020-11-25,-1,0.0,0,0,0.0,0,1,0.0,0
2020-11-26,-1,0.028222701008859707,-1,0,0.0,0,0,0.0,0
2020-11-27,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-28,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-29,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-30,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-01,-1,-0.010426635468031575,-1,0,0.0,0,0,0.0,0
2020-12-02,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-03,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-04,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-05,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-06,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-07,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-08,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-09,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-10,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-11,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-12,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-13,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-14,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-15,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-16,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-17,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-18,-1,0.0,0,0,0.0,0,1,0.004017999549662754,1
2020-12-19,-1,0.0,0,0,0.0,0,1,0.024444301106808064,1
2020-12-20,-1,0.0,0,0,0.0,0,1,0.0,0
2020-12-21,-1,-0.02846914584193505,-1,0,0.0,0,1,0.0,0
2020-12-22,-1,0.0,0,0,0.0,0,1,0.015220193624218892,1
2020-12-23,-1,0.0,0,0,0.0,0,1,0.0,0
2020-12-24,-1,0.0,0,0,0.0,0,1,0.010524916480452395,1
2020-12-25,-1,0.0,0,0,0.0,0,-1,0.0,0
2020-12-26,-1,0.0,0,0,0.0,0,-1,0.0,0
2020-12-27,-1,0.0,0,0,0.0,0,-1,0.0,0
2020-12-28,-1,0.0,0,0,0.0,0,-1,0.0,0
2020-12-29,-1,0.0,0,0,0.0,0,-1,0.0,0
2020-12-30,-1,0.0,0,-1,0.0,0,-1,0.0,0
2020-12-31,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-01-01,-1,0.0,0,0,0.0,0,-1,0.0,0
2021-01-02,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-01-03,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-01-04,-1,-0.027920034551110806,-1,-1,-0.1508386659730967,-1,-1,-0.039048212936460436,-1
2021-01-05,-1,-0.13098137241651364,-1,-1,0.0,0,-1,0.0,0
2021-01-06,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-01-07,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-01-08,-1,-0.09365902435341122,-1,-1,-0.07441036118074229,-1,-1,-0.09970991269859608,-1
2021-01-09,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-01-10,-1,-0.007937531155827182,-1,-1,-0.057962029486066546,-1,-1,-0.03600310164805842,-1
2021-01-11,-1,0.011634808873341784,-1,-1,0.0631591517668062,-1,-1,0.1182261819892193,-1
2021-01-12,-1,-0.01964906155174062,-1,-1,-0.04255690506330767,-1,-1,-0.03509196157448913,-1
2021-01-13,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-14,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-15,-1,-0.00015298292940735259,-1,-1,-0.02732784281897782,-1,0,0.0,0
2021-01-16,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-17,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-18,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-19,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-20,-1,-0.05250164958411885,-1,-1,-0.09017762665704443,-1,0,0.0,0
2021-01-21,-1,0.07499890611693139,-1,-1,0.1286800784157084,-1,0,0.0,0
2021-01-22,-1,-0.14152036707142557,-1,-1,0.0,0,0,0.0,0
2021-01-23,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-24,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-25,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-26,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-27,-1,0.0020384033536406942,-1,-1,0.0163660480199066,-1,0,0.0,0
2021-01-28,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-29,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-30,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-31,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-01,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-02,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-03,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-04,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-05,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-06,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-07,-1,0.0,0,-1,-0.04469014674405414,-1,0,0.0,0
2021-02-08,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-09,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-02-10,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-02-11,-1,0.0,0,-1,0.0,0,-1,0.0,0
2021-02-12,-1,0.0,0,-1,0.0,0,-1,0.0,0
